epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1622,0.99332,3.38399,1.43212,0.5953,0.13654,0.21974,0.15283,0.93468,2.66249,1.36377,0.000274511,0.000274511,0.000274511
2,54.8547,1.01514,2.48367,1.40287,0.44871,0.44274,0.38599,0.26132,1.11114,2.14607,1.55881,0.000546711,0.000546711,0.000546711
3,79.8711,1.01184,2.05525,1.36619,0.37373,0.44248,0.4063,0.2701,1.25814,2.23181,1.63414,0.000813414,0.000813414,0.000813414
4,104.82,1.02287,1.86183,1.35537,0.55435,0.41306,0.42209,0.279,1.09246,1.90853,1.48549,0.00080826,0.00080826,0.00080826
5,129.75,0.98731,1.71135,1.34257,0.37057,0.52994,0.47335,0.32438,1.09125,1.69652,1.4483,0.000800013,0.000800013,0.000800013
6,154.741,0.967,1.61441,1.30901,0.422,0.60857,0.49963,0.33929,1.04718,1.79936,1.42637,0.000791767,0.000791767,0.000791767
7,179.494,0.94648,1.49157,1.29876,0.46868,0.58601,0.55577,0.38936,1.05258,1.52301,1.4077,0.00078352,0.00078352,0.00078352
8,204.429,0.93342,1.4018,1.28941,0.54657,0.61648,0.60773,0.44666,0.93402,1.49361,1.30365,0.000775273,0.000775273,0.000775273
9,229.292,0.89423,1.28278,1.26206,0.58642,0.59268,0.62715,0.45423,0.959,1.41491,1.32756,0.000767026,0.000767026,0.000767026
10,254.162,0.90188,1.25139,1.24898,0.59083,0.67801,0.67459,0.50205,0.93362,1.27298,1.29352,0.00075878,0.00075878,0.00075878
11,279.061,0.89608,1.20827,1.25684,0.63862,0.68156,0.68909,0.48922,0.98048,1.27835,1.33923,0.000750533,0.000750533,0.000750533
12,303.852,0.86428,1.15482,1.24367,0.60745,0.67794,0.69066,0.51272,0.91842,1.25765,1.2932,0.000742286,0.000742286,0.000742286
13,328.249,0.84418,1.10566,1.22176,0.6595,0.68811,0.68117,0.49586,0.95057,1.29321,1.32872,0.00073404,0.00073404,0.00073404
14,352.912,0.86626,1.10738,1.2442,0.6748,0.65223,0.74802,0.53819,0.91044,1.14983,1.26946,0.000725793,0.000725793,0.000725793
15,377.5,0.86495,1.09542,1.24063,0.61682,0.75143,0.7211,0.53814,0.91028,1.15421,1.27645,0.000717546,0.000717546,0.000717546
16,402.132,0.84584,1.06303,1.22822,0.57567,0.68357,0.65331,0.47619,0.95724,1.3735,1.32461,0.000709299,0.000709299,0.000709299
17,427.027,0.86407,1.02954,1.23171,0.65214,0.75749,0.75895,0.56265,0.93414,1.10647,1.295,0.000701053,0.000701053,0.000701053
18,451.827,0.84747,1.00415,1.22331,0.67594,0.6666,0.73457,0.54817,0.87283,1.0913,1.24538,0.000692806,0.000692806,0.000692806
19,476.468,0.83897,1.00232,1.21024,0.71139,0.63659,0.73717,0.54587,0.91657,1.16545,1.28441,0.000684559,0.000684559,0.000684559
20,501.097,0.83489,0.99673,1.22306,0.71275,0.7227,0.78517,0.57573,0.88782,0.98291,1.27499,0.000676313,0.000676313,0.000676313
21,525.864,0.81708,0.91743,1.19791,0.62385,0.70876,0.67794,0.50339,0.90865,1.11634,1.26534,0.000668066,0.000668066,0.000668066
22,550.604,0.79944,0.91673,1.19245,0.70359,0.75252,0.78777,0.59425,0.90815,1.03963,1.27976,0.000659819,0.000659819,0.000659819
23,575.253,0.80645,0.91487,1.20504,0.7945,0.69648,0.79086,0.57167,0.94237,1.0343,1.29451,0.000651573,0.000651573,0.000651573
24,599.789,0.78283,0.86214,1.18922,0.63397,0.78242,0.7439,0.56132,0.89233,1.17533,1.28576,0.000643326,0.000643326,0.000643326
25,624.451,0.77761,0.86653,1.17445,0.70342,0.68588,0.73953,0.55829,0.88785,1.17993,1.25406,0.000635079,0.000635079,0.000635079
26,648.969,0.78271,0.84187,1.1723,0.67623,0.74702,0.7632,0.58449,0.89561,1.09611,1.25741,0.000626832,0.000626832,0.000626832
27,673.667,0.78799,0.87347,1.17703,0.70133,0.71116,0.77899,0.58396,0.91536,0.99322,1.2984,0.000618586,0.000618586,0.000618586
28,698.349,0.76488,0.85283,1.16704,0.73431,0.68647,0.77132,0.57961,0.89997,0.99998,1.27986,0.000610339,0.000610339,0.000610339
29,723.34,0.77678,0.81613,1.16757,0.61166,0.71111,0.71394,0.55189,0.8861,1.12291,1.25633,0.000602092,0.000602092,0.000602092
30,748.331,0.77186,0.82129,1.17377,0.72353,0.75974,0.80125,0.60693,0.89104,0.95497,1.25939,0.000593846,0.000593846,0.000593846
31,773.021,0.74696,0.8014,1.16419,0.71186,0.7394,0.78968,0.61222,0.84356,1.028,1.21955,0.000585599,0.000585599,0.000585599
32,797.424,0.76617,0.80396,1.16518,0.76864,0.69135,0.78048,0.59665,0.87363,1.00473,1.25717,0.000577352,0.000577352,0.000577352
33,821.743,0.75822,0.78431,1.16212,0.67342,0.80739,0.79848,0.6181,0.84864,0.96906,1.2253,0.000569106,0.000569106,0.000569106
34,846.082,0.75347,0.76796,1.15484,0.73523,0.72567,0.79419,0.62183,0.87438,0.94992,1.2346,0.000560859,0.000560859,0.000560859
35,870.391,0.75692,0.74986,1.14969,0.71268,0.73754,0.79243,0.60416,0.87812,0.97028,1.26249,0.000552612,0.000552612,0.000552612
36,894.799,0.76026,0.7525,1.16165,0.73778,0.76119,0.80746,0.61541,0.87547,0.94904,1.24292,0.000544365,0.000544365,0.000544365
37,919.791,0.74501,0.76448,1.14782,0.67348,0.7762,0.78419,0.60376,0.8816,0.95092,1.26718,0.000536119,0.000536119,0.000536119
38,944.559,0.73476,0.69474,1.14868,0.73406,0.74692,0.78719,0.61508,0.87599,0.95731,1.26034,0.000527872,0.000527872,0.000527872
39,969.287,0.72539,0.74394,1.15219,0.70711,0.77553,0.78114,0.6023,0.82445,0.98472,1.21291,0.000519625,0.000519625,0.000519625
40,994.112,0.71714,0.71156,1.13899,0.77321,0.76857,0.81876,0.63301,0.88527,0.90753,1.26483,0.000511379,0.000511379,0.000511379
41,1018.77,0.73781,0.70252,1.14599,0.67088,0.78639,0.74199,0.57335,0.84079,1.01002,1.25197,0.000503132,0.000503132,0.000503132
42,1043.46,0.7063,0.6827,1.13279,0.74813,0.76874,0.79501,0.60565,0.86861,0.91766,1.28096,0.000494885,0.000494885,0.000494885
43,1068.06,0.71099,0.68988,1.12952,0.76289,0.70675,0.78976,0.60617,0.8788,0.94503,1.26089,0.000486639,0.000486639,0.000486639
44,1092.53,0.73829,0.6868,1.15373,0.74686,0.72021,0.80581,0.62229,0.86348,0.9159,1.24555,0.000478392,0.000478392,0.000478392
45,1117.09,0.71178,0.65217,1.12766,0.73794,0.74468,0.7776,0.60033,0.8665,0.96782,1.25448,0.000470145,0.000470145,0.000470145
46,1141.79,0.70567,0.66912,1.13479,0.75252,0.77834,0.80118,0.62873,0.84679,0.98072,1.24224,0.000461898,0.000461898,0.000461898
47,1166.4,0.69683,0.64528,1.11532,0.70743,0.70283,0.7547,0.58621,0.88088,1.00193,1.28237,0.000453652,0.000453652,0.000453652
48,1191.16,0.70361,0.6588,1.12942,0.7346,0.76543,0.79541,0.62491,0.85602,0.93048,1.24483,0.000445405,0.000445405,0.000445405
49,1216.06,0.69442,0.6389,1.12107,0.75723,0.73398,0.80315,0.6235,0.85437,0.92822,1.2469,0.000437158,0.000437158,0.000437158
50,1240.93,0.6807,0.62977,1.11464,0.76899,0.72413,0.78911,0.62164,0.87045,0.96811,1.25153,0.000428912,0.000428912,0.000428912
51,1265.69,0.6909,0.64591,1.11093,0.82957,0.69996,0.80255,0.63698,0.81607,0.93999,1.22052,0.000420665,0.000420665,0.000420665
52,1290.29,0.67476,0.62433,1.1069,0.74844,0.70338,0.77465,0.60896,0.8709,1.07008,1.27789,0.000412418,0.000412418,0.000412418
53,1314.77,0.67718,0.63287,1.11403,0.75041,0.75597,0.81963,0.64982,0.82863,0.90188,1.20432,0.000404172,0.000404172,0.000404172
54,1339.08,0.68535,0.61704,1.1215,0.80497,0.74307,0.8387,0.65207,0.85613,0.84296,1.22074,0.000395925,0.000395925,0.000395925
55,1363.62,0.67759,0.62109,1.10961,0.72784,0.77479,0.80002,0.63701,0.82183,0.87399,1.22924,0.000387678,0.000387678,0.000387678
56,1388.48,0.65354,0.59621,1.10148,0.70874,0.7766,0.79022,0.621,0.85039,0.93561,1.25568,0.000379431,0.000379431,0.000379431
57,1413.25,0.65753,0.58667,1.09278,0.76025,0.76803,0.81655,0.63902,0.84321,0.88241,1.23315,0.000371185,0.000371185,0.000371185
58,1438.11,0.66166,0.5904,1.0992,0.74729,0.77444,0.80892,0.63772,0.84646,0.89785,1.23429,0.000362938,0.000362938,0.000362938
59,1462.92,0.67221,0.5876,1.1088,0.70001,0.81847,0.80161,0.62333,0.8456,0.91397,1.23466,0.000354691,0.000354691,0.000354691
60,1487.78,0.66846,0.58878,1.10355,0.69587,0.77287,0.78305,0.60675,0.87171,0.96419,1.26393,0.000346445,0.000346445,0.000346445
61,1512.48,0.65536,0.57381,1.08907,0.75191,0.78536,0.82413,0.66079,0.82551,0.86812,1.20683,0.000338198,0.000338198,0.000338198
62,1537.02,0.65793,0.59372,1.10952,0.74882,0.78958,0.8166,0.64615,0.82499,0.85859,1.21527,0.000329951,0.000329951,0.000329951
63,1561.57,0.64492,0.56924,1.09841,0.76982,0.75848,0.80609,0.63562,0.83102,0.93588,1.22539,0.000321705,0.000321705,0.000321705
64,1586.07,0.63913,0.53863,1.08021,0.73679,0.78173,0.81972,0.64282,0.82083,0.91637,1.21047,0.000313458,0.000313458,0.000313458
65,1610.75,0.63761,0.55128,1.0839,0.76704,0.75627,0.82003,0.64986,0.82791,0.86807,1.23064,0.000305211,0.000305211,0.000305211
66,1635.48,0.64081,0.54873,1.08586,0.74685,0.7427,0.82444,0.64896,0.82727,0.92277,1.21386,0.000296964,0.000296964,0.000296964
