epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6397,1.04224,3.39099,1.44461,0.37808,0.24556,0.23711,0.16453,0.99015,2.58089,1.41984,0.000274804,0.000274804,0.000274804
2,63.1016,1.04832,2.53739,1.41408,0.36733,0.3722,0.30227,0.1995,1.16839,2.27847,1.59701,0.000541532,0.000541532,0.000541532
3,82.2387,1.06168,2.1621,1.40233,0.35206,0.4118,0.36036,0.21244,1.32902,2.41477,1.71714,0.000797264,0.000797264,0.000797264
4,101.129,1.0477,1.97243,1.37714,0.45545,0.40306,0.40582,0.27291,1.18556,1.99088,1.553,0.00078352,0.00078352,0.00078352
5,120.222,1.05064,1.83097,1.37654,0.37511,0.3778,0.35608,0.24348,1.23138,2.5605,1.5819,0.000767026,0.000767026,0.000767026
6,139.577,1.03526,1.72255,1.34449,0.47008,0.57805,0.4931,0.34614,1.04806,1.79289,1.41721,0.000750533,0.000750533,0.000750533
7,158.702,1.01273,1.60513,1.34446,0.45691,0.60552,0.49529,0.33491,1.12211,1.72171,1.48838,0.00073404,0.00073404,0.00073404
8,177.788,0.99528,1.54669,1.32233,0.49181,0.4965,0.50514,0.35271,1.09717,1.70141,1.43805,0.000717546,0.000717546,0.000717546
9,196.927,0.98769,1.4622,1.31124,0.52572,0.50042,0.54087,0.38651,1.03572,1.5231,1.42861,0.000701053,0.000701053,0.000701053
10,215.997,0.95111,1.42057,1.29111,0.48395,0.55431,0.52404,0.37516,1.01911,1.49972,1.40403,0.000684559,0.000684559,0.000684559
11,235.076,0.92921,1.34192,1.27322,0.57146,0.64655,0.63225,0.46306,0.97891,1.35163,1.34929,0.000668066,0.000668066,0.000668066
12,254.164,0.94253,1.29131,1.28681,0.4621,0.64104,0.59671,0.43239,1.03093,1.47141,1.39601,0.000651573,0.000651573,0.000651573
13,273.118,0.92742,1.25126,1.27211,0.63332,0.63795,0.68684,0.49372,1.00428,1.20224,1.37714,0.000635079,0.000635079,0.000635079
14,292.12,0.90515,1.22974,1.25472,0.62833,0.5852,0.63408,0.46995,0.97592,1.39143,1.33545,0.000618586,0.000618586,0.000618586
15,311.111,0.90293,1.16495,1.24926,0.52399,0.627,0.5867,0.42794,0.96766,1.47892,1.31959,0.000602092,0.000602092,0.000602092
16,330.045,0.86017,1.12542,1.22222,0.62871,0.62225,0.63149,0.46272,0.9525,1.21834,1.32721,0.000585599,0.000585599,0.000585599
17,348.986,0.90948,1.1372,1.24646,0.57698,0.67787,0.68668,0.51135,0.92849,1.24369,1.30195,0.000569106,0.000569106,0.000569106
18,368.034,0.88081,1.10859,1.23212,0.56305,0.58522,0.59856,0.43492,0.99362,1.25931,1.36508,0.000552612,0.000552612,0.000552612
19,386.915,0.84948,1.05895,1.22074,0.50765,0.71113,0.64448,0.46579,0.97952,1.28102,1.34668,0.000536119,0.000536119,0.000536119
20,405.903,0.8588,1.04895,1.21932,0.64394,0.6915,0.72028,0.53559,0.9365,1.11611,1.3007,0.000519625,0.000519625,0.000519625
21,424.963,0.85338,1.02876,1.21998,0.57413,0.64541,0.66469,0.49684,0.93086,1.23475,1.3056,0.000503132,0.000503132,0.000503132
22,443.736,0.83117,1.00293,1.20065,0.61467,0.64536,0.6926,0.51706,0.94258,1.16417,1.30973,0.000486639,0.000486639,0.000486639
23,462.438,0.83129,0.98818,1.20442,0.63566,0.59329,0.69092,0.52523,0.9006,1.10042,1.27667,0.000470145,0.000470145,0.000470145
24,481.37,0.81054,0.94457,1.17877,0.69495,0.56767,0.67264,0.50099,0.93454,1.22519,1.29499,0.000453652,0.000453652,0.000453652
25,500.29,0.81949,0.91717,1.18799,0.62228,0.6984,0.69809,0.51493,0.92798,1.12639,1.29488,0.000437158,0.000437158,0.000437158
26,519.031,0.80323,0.90267,1.18433,0.58959,0.71776,0.70911,0.52487,0.92818,1.09698,1.29567,0.000420665,0.000420665,0.000420665
27,537.759,0.80303,0.88582,1.18322,0.68852,0.56668,0.67227,0.49643,0.94569,1.14517,1.30399,0.000404172,0.000404172,0.000404172
28,556.607,0.79421,0.88032,1.17069,0.67924,0.62097,0.70811,0.53314,0.90734,1.10337,1.27125,0.000387678,0.000387678,0.000387678
29,575.492,0.7781,0.8679,1.16771,0.55331,0.74296,0.71177,0.54155,0.90559,1.12265,1.28303,0.000371185,0.000371185,0.000371185
30,594.208,0.79119,0.83316,1.17867,0.62374,0.66266,0.69069,0.52641,0.91886,1.1687,1.28169,0.000354691,0.000354691,0.000354691
31,613.009,0.76931,0.81297,1.15151,0.59881,0.72623,0.7103,0.54408,0.88496,1.06372,1.2548,0.000338198,0.000338198,0.000338198
32,631.8,0.75712,0.811,1.15349,0.63932,0.66148,0.69627,0.52446,0.91449,1.14043,1.27172,0.000321705,0.000321705,0.000321705
