epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3947,1.04224,3.39099,1.44461,0.37808,0.24556,0.23711,0.16453,0.99015,2.58089,1.41984,0.000274804,0.000274804,0.000274804
2,61.3827,1.04839,2.53374,1.41565,0.40645,0.37818,0.35791,0.2458,1.08939,2.18097,1.53386,0.000547001,0.000547001,0.000547001
3,80.1043,1.06025,2.16802,1.40585,0.42929,0.3561,0.3792,0.23769,1.19876,2.48187,1.62468,0.000813701,0.000813701,0.000813701
4,98.8198,1.05606,1.99124,1.3876,0.36094,0.50511,0.4148,0.27882,1.17989,2.04726,1.55849,0.00080826,0.00080826,0.00080826
5,117.639,1.05513,1.84823,1.38336,0.40502,0.51124,0.46561,0.32215,1.16539,1.82912,1.54308,0.000800013,0.000800013,0.000800013
6,136.753,1.05124,1.76153,1.35174,0.50573,0.42279,0.44312,0.29529,1.29705,1.86309,1.62122,0.000791767,0.000791767,0.000791767
7,156.072,1.02962,1.63695,1.35428,0.54723,0.44377,0.47646,0.32825,1.14021,1.8198,1.49757,0.00078352,0.00078352,0.00078352
8,175.436,1.00037,1.56999,1.32962,0.60132,0.44745,0.53272,0.38027,1.0665,1.67078,1.44702,0.000775273,0.000775273,0.000775273
9,194.597,0.99453,1.51314,1.31951,0.5257,0.44322,0.49958,0.36813,1.03094,1.75863,1.39625,0.000767026,0.000767026,0.000767026
10,213.813,0.96297,1.44756,1.29881,0.40917,0.55039,0.48921,0.34039,1.08238,1.80445,1.43053,0.00075878,0.00075878,0.00075878
11,232.954,0.9591,1.39821,1.29567,0.51767,0.568,0.56567,0.39989,1.05526,1.54381,1.40218,0.000750533,0.000750533,0.000750533
12,252.239,0.96103,1.34079,1.29685,0.5309,0.60223,0.59177,0.41732,1.06481,1.43108,1.42461,0.000742286,0.000742286,0.000742286
13,271.367,0.95167,1.28918,1.28547,0.57544,0.58831,0.59456,0.43342,1.027,1.46748,1.39051,0.00073404,0.00073404,0.00073404
14,290.505,0.92858,1.2571,1.27053,0.64298,0.5535,0.60717,0.43276,1.04045,1.50774,1.37806,0.000725793,0.000725793,0.000725793
15,309.695,0.92169,1.19654,1.25492,0.6092,0.60302,0.64013,0.46227,0.98872,1.28333,1.33649,0.000717546,0.000717546,0.000717546
16,328.761,0.89268,1.1609,1.23914,0.53863,0.57709,0.59749,0.42809,1.01895,1.29865,1.37089,0.000709299,0.000709299,0.000709299
17,347.989,0.91951,1.18474,1.25882,0.62743,0.56831,0.63878,0.46464,0.98251,1.38889,1.34462,0.000701053,0.000701053,0.000701053
18,367.207,0.90739,1.15332,1.253,0.58922,0.63357,0.61647,0.44668,1.02076,1.31353,1.37015,0.000692806,0.000692806,0.000692806
19,386.398,0.86741,1.10908,1.23263,0.54598,0.60988,0.62566,0.45266,0.95703,1.33753,1.33297,0.000684559,0.000684559,0.000684559
20,405.558,0.88203,1.11485,1.24071,0.60987,0.51445,0.57992,0.42197,1.02175,1.43115,1.40047,0.000676313,0.000676313,0.000676313
21,424.729,0.87626,1.08896,1.2311,0.64203,0.62702,0.66216,0.49049,0.97653,1.28745,1.33357,0.000668066,0.000668066,0.000668066
22,443.85,0.87903,1.07496,1.22517,0.72219,0.57418,0.6905,0.50534,0.99469,1.18379,1.35663,0.000659819,0.000659819,0.000659819
23,462.995,0.86437,1.04362,1.22401,0.57021,0.71635,0.68518,0.51252,0.92426,1.21294,1.29202,0.000651573,0.000651573,0.000651573
24,482.222,0.85238,1.0204,1.21035,0.62926,0.60352,0.67767,0.49684,0.95281,1.25097,1.32703,0.000643326,0.000643326,0.000643326
25,501.448,0.85355,0.99099,1.20975,0.58855,0.63652,0.6272,0.47103,0.93122,1.32356,1.30576,0.000635079,0.000635079,0.000635079
26,520.644,0.85077,0.97987,1.21667,0.58973,0.69403,0.68263,0.49732,0.98338,1.17941,1.35838,0.000626832,0.000626832,0.000626832
27,539.708,0.84483,0.96938,1.21102,0.62799,0.61316,0.65016,0.48577,0.932,1.20645,1.29182,0.000618586,0.000618586,0.000618586
28,558.9,0.8302,0.92946,1.19343,0.62175,0.66156,0.65993,0.49125,0.96184,1.164,1.33927,0.000610339,0.000610339,0.000610339
29,578.14,0.82234,0.94848,1.19965,0.58593,0.69946,0.65196,0.4828,0.95831,1.20241,1.32489,0.000602092,0.000602092,0.000602092
30,597.321,0.83699,0.9263,1.20956,0.6565,0.59877,0.65575,0.50519,0.91438,1.20574,1.29117,0.000593846,0.000593846,0.000593846
31,616.44,0.82034,0.90324,1.18869,0.62754,0.57143,0.63586,0.472,0.92803,1.21556,1.30137,0.000585599,0.000585599,0.000585599
32,635.519,0.80197,0.9019,1.18377,0.61242,0.66482,0.69105,0.51852,0.92786,1.16358,1.2847,0.000577352,0.000577352,0.000577352
33,654.793,0.79101,0.87881,1.17836,0.61435,0.63129,0.64505,0.47988,0.9517,1.29661,1.32482,0.000569106,0.000569106,0.000569106
34,673.857,0.81385,0.88205,1.19633,0.65025,0.63319,0.70105,0.51736,0.97184,1.09816,1.31606,0.000560859,0.000560859,0.000560859
